,vector_size,window_size,numer_of_epochs,accuracy
84,250.0,13.0,5.0,51.94558683960772
85,250.0,13.0,10.0,86.6023410313192
86,250.0,13.0,15.0,89.92407465991775
87,250.0,15.0,5.0,52.98956026573869
88,250.0,15.0,10.0,85.22619424232838
89,250.0,15.0,15.0,89.43372350521987
90,250.0,17.0,5.0,54.06516925023727
91,250.0,17.0,10.0,84.7674786459981
92,250.0,17.0,15.0,89.44954128440367
93,250.0,19.0,5.0,55.37804492249288
94,250.0,19.0,10.0,84.29294527048403
95,250.0,19.0,15.0,89.10155014236001
96,300.0,5.0,5.0,40.525150268902244
97,300.0,5.0,10.0,90.62005694400506
98,300.0,5.0,15.0,92.70800379626701
99,300.0,7.0,5.0,45.83992407465992
100,300.0,7.0,10.0,89.22809237583043
101,300.0,7.0,15.0,91.66403037013603
102,300.0,9.0,5.0,47.39006643467257
103,300.0,9.0,10.0,87.82031002847201
104,300.0,9.0,15.0,91.28440366972477
105,300.0,11.0,5.0,49.620373299588735
106,300.0,11.0,10.0,86.85542549826005
107,300.0,11.0,15.0,90.8256880733945
108,300.0,13.0,5.0,51.59759569756406
109,300.0,13.0,10.0,85.93799430559949
110,300.0,13.0,15.0,90.88895919012971
111,300.0,15.0,5.0,52.60993356532743
112,300.0,15.0,10.0,85.25782980069599
113,300.0,15.0,15.0,89.84498576399874
114,300.0,17.0,5.0,53.60645365390699
115,300.0,17.0,10.0,84.54602973742486
116,300.0,17.0,15.0,89.24391015501423
117,300.0,19.0,5.0,53.78044922492882
118,300.0,19.0,10.0,85.54254982600443
119,300.0,19.0,15.0,89.44954128440367
120,350.0,5.0,5.0,39.82916798481493
121,350.0,5.0,10.0,90.12970578930718
122,350.0,5.0,15.0,92.42328377095856
123,350.0,7.0,5.0,44.81176842771275
124,350.0,7.0,10.0,88.62701676684594
125,350.0,7.0,15.0,91.71148370768744
126,350.0,9.0,5.0,45.99810186649794
127,350.0,9.0,10.0,87.7886744701044
128,350.0,9.0,15.0,91.55330591584942
129,350.0,11.0,5.0,48.30749762733312
130,350.0,11.0,10.0,86.5548876937678
131,350.0,11.0,15.0,90.8573236317621
132,350.0,13.0,5.0,50.85416007592534
133,350.0,13.0,10.0,84.97310977538754
134,350.0,13.0,15.0,90.28788358114521
135,350.0,15.0,5.0,51.59759569756406
136,350.0,15.0,10.0,84.97310977538754
137,350.0,15.0,15.0,89.75007908889592
138,350.0,17.0,5.0,52.293577981651374
139,350.0,17.0,10.0,84.65675419171149
140,350.0,17.0,15.0,89.5760835178741
141,350.0,19.0,5.0,52.68902246124644
142,350.0,19.0,10.0,84.38785194558685
143,350.0,19.0,15.0,88.9908256880734
144,400.0,5.0,5.0,38.23157228725087
145,400.0,5.0,10.0,90.14552356849099
146,400.0,5.0,15.0,92.6921860170832
147,400.0,7.0,5.0,42.771274913002216
148,400.0,7.0,10.0,88.81683011705157
149,400.0,7.0,15.0,91.82220816197406
150,400.0,9.0,5.0,45.966466308130336
151,400.0,9.0,10.0,87.48813666561215
152,400.0,9.0,15.0,91.22113255298956
153,400.0,11.0,5.0,48.687124327744385
154,400.0,11.0,10.0,86.64979436887062
